,att_id,att_name,att_cat,att_price
0,74,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,"cruises,_sailing_&_water_tours",136.26
1,3285,niagara_falls_day_tour_from_toronto,recommended_experiences,94.92
2,3507,niagara_falls_canada_tour_from_niagara_usa,recommended_experiences,156.7
3,583,niagara_falls_one_day_sightseeing_tour_from_toronto,"food,_wine_&_nightlife",99.0
4,2249,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,family_friendly,136.25
5,1571,niagara_falls_canada_tour_from_niagara_usa,tours_&_sightseeing,156.71
6,2265,whale-watching_tour_from_vancouver,family_friendly,138.5
7,985,crystal_hut_fondue_by_snowmobile,outdoor_activities,282.45
8,1364,2-hour_ottawa_express_city_bike_tour,tours_&_sightseeing,63.0
9,1338,niagara_falls_one_day_sightseeing_tour_from_toronto,tours_&_sightseeing,99.0
10,325,niagara_falls_canada_tour_from_niagara_usa,cultural_&_theme_tours,156.71
11,2134,squamish_elaho_white-water_rafting,water_sports,173.24
12,3308,half-day_whale_watching_adventure_from_vancouver,recommended_experiences,181.13
13,135,summer_whale_watching_on_vancouver_island,"cruises,_sailing_&_water_tours",145.95
14,1324,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,tours_&_sightseeing,136.26
15,81,whale-watching_tour_from_vancouver,"cruises,_sailing_&_water_tours",138.5
16,1934,2-hour_ottawa_express_city_bike_tour,walking_&_biking_tours,63.0
17,603,crystal_hut_fondue_by_snowmobile,"food,_wine_&_nightlife",282.45
18,3488,squamish_elaho_white-water_rafting,recommended_experiences,173.24
19,3318,niagara_falls_american-side_tour_with_maid_of_the_mist_boat_ride,recommended_experiences,136.25
20,3393,2-hour_ottawa_express_city_bike_tour,recommended_experiences,63.0
21,2086,whale-watching_tour_from_vancouver,water_sports,138.5
22,2257,niagara_falls_one_day_sightseeing_tour_from_toronto,family_friendly,99.0
23,72,half-day_whale_watching_adventure_from_vancouver,"cruises,_sailing_&_water_tours",181.13
24,2605,niagara_falls_one_day_sightseeing_tour_from_toronto,luxury_&_special_occasions,99.0
25,2239,niagara_falls_day_tour_from_toronto,family_friendly,94.92
26,2127,summer_whale_watching_on_vancouver_island,water_sports,145.95
27,1301,niagara_falls_day_tour_from_toronto,tours_&_sightseeing,94.92
28,566,niagara_falls_day_tour_from_toronto,"food,_wine_&_nightlife",94.92
